STA_NO,Area_NO,INFO_DATE,FCST_Rainfall,Q_IN
RFETS,09,2024-01-05 05:00:00.000,0.0,4.540953
RFETS,09,2024-01-05 06:00:00.000,0.0,9.372222
RFETS,09,2024-01-05 07:00:00.000,0.0,6.25
RFETS,09,2024-01-05 08:00:00.000,0.0,6.25
RFETS,09,2024-01-05 09:00:00.000,0.0,6.25
RFETS,09,2024-01-05 10:00:00.000,0.0,6.25
RFETS,09,2024-01-05 11:00:00.000,0.0,3.123333
RFETS,09,2024-01-05 12:00:00.000,0.0,6.246666
RFETS,09,2024-01-05 13:00:00.000,0.0,6.246666
RFETS,09,2024-01-05 14:00:00.000,0.0,3.123333
RFETS,09,2024-01-05 15:00:00.000,0.0,6.252222
RFETS,09,2024-01-05 16:00:00.000,0.0,6.745844
RFETS,09,2024-01-05 17:00:00.000,0.0,10.57359
RFETS,09,2024-01-05 18:00:00.000,0.0,12.756
RFETS,09,2024-01-05 19:00:00.000,0.0398843930635838,11.76499
RFETS,09,2024-01-05 20:00:00.000,0.0,10.67491
RFETS,09,2024-01-05 21:00:00.000,0.0,12.78198
RFETS,09,2024-01-05 22:00:00.000,0.0,11.73378
RFETS,09,2024-01-05 23:00:00.000,0.0,8.604885
RFETS,09,2024-01-06 00:00:00.000,0.0,8.604885
RFETS,09,2024-01-06 01:00:00.000,0.0,5.70393
RFETS,09,2024-01-06 02:00:00.000,0.0,3.497787
RFETS,09,2024-01-06 03:00:00.000,0.0,7.60038
RFETS,09,2024-01-06 04:00:00.000,0.0,5.543403
RFETS,09,2024-01-06 05:00:00.000,0.0,3.450108
RFETS,09,2024-01-06 06:00:00.000,0.0,4.522806
RFETS,09,2024-01-06 08:00:00.000,0.0,6.245555
RFETS,09,2024-01-06 09:00:00.000,0.0,6.245555
RFETS,09,2024-01-06 10:00:00.000,0.0,6.245555
RFETS,09,2024-01-06 11:00:00.000,0.0,3.125556
RFETS,09,2024-01-06 12:00:00.000,0.0,6.245555
RFETS,09,2024-01-06 13:00:00.000,0.0,6.245555
RFETS,09,2024-01-06 14:00:00.000,0.0,6.245555
RFETS,09,2024-01-06 15:00:00.000,0.0,6.245555
RFETS,09,2024-01-06 16:00:00.000,0.0,6.843259
RFETS,09,2024-01-06 17:00:00.000,0.0,30.76341
RFETS,09,2024-01-06 18:00:00.000,0.0,13.69893
RFETS,09,2024-01-06 19:00:00.000,0.0,13.09801
RFETS,09,2024-01-06 20:00:00.000,0.0,12.4961
RFETS,09,2024-01-06 21:00:00.000,0.0,11.92947
RFETS,09,2024-01-06 22:00:00.000,0.0,14.39942
RFETS,09,2024-01-06 23:00:00.000,0.0,12.49028
RFETS,09,2024-01-07 00:00:00.000,0.0,9.364731
RFETS,09,2024-01-07 01:00:00.000,0.0,6.019619
RFETS,09,2024-01-07 02:00:00.000,0.0,6.512142
RFETS,09,2024-01-07 03:00:00.000,0.0,3.979366
RFETS,09,2024-01-07 04:00:00.000,0.0011560693641618498,4.554417
RFETS,09,2024-01-07 05:00:00.000,0.0011560693641618498,5.143243
RFETS,09,2024-01-07 06:00:00.000,0.02427745664739885,2.666406
RFETS,09,2024-01-07 07:00:00.000,0.0,6.24
RFETS,09,2024-01-07 08:00:00.000,0.0,6.24
RFETS,09,2024-01-07 09:00:00.000,0.0,6.24
RFETS,09,2024-01-07 10:00:00.000,0.0,3.117778
RFETS,09,2024-01-07 11:00:00.000,0.0,6.24
RFETS,09,2024-01-07 12:00:00.000,0.0,6.234445
RFETS,09,2024-01-07 13:00:00.000,0.0,6.234445
RFETS,09,2024-01-07 14:00:00.000,0.0,6.234445
RFETS,09,2024-01-07 15:00:00.000,0.0,3.116667
RFETS,09,2024-01-07 16:00:00.000,0.0,3.746513
RFETS,09,2024-01-07 17:00:00.000,0.0,56.5875
RFETS,09,2024-01-07 18:00:00.000,0.0,10.73449
RFETS,09,2024-01-07 19:00:00.000,0.0,13.37809
RFETS,09,2024-01-07 20:00:00.000,0.012138728323699423,9.777914
RFETS,09,2024-01-07 21:00:00.000,0.0023121387283236996,12.42282
RFETS,09,2024-01-07 22:00:00.000,0.004624277456647399,11.9105
RFETS,09,2024-01-07 23:00:00.000,0.008670520231213872,11.9105
RFETS,09,2024-01-08 00:00:00.000,0.0,11.9105
RFETS,09,2024-01-08 01:00:00.000,0.01560693641618497,5.314331
RFETS,09,2024-01-08 02:00:00.000,0.07167630057803472,5.78273
RFETS,09,2024-01-08 03:00:00.000,0.003468208092485549,3.137602
RFETS,09,2024-01-08 04:00:00.000,0.0445086705202312,6.734025
RFETS,09,2024-01-08 05:00:00.000,0.011560693641618497,4.079167
RFETS,09,2024-01-08 06:00:00.000,0.0,4.588424
RFETS,09,2024-01-08 07:00:00.000,0.0,3.114444
RFETS,09,2024-01-08 08:00:00.000,0.030635838150289012,6.228889
RFETS,09,2024-01-08 10:00:00.000,0.0,6.228889
RFETS,09,2024-01-08 11:00:00.000,0.0,6.228889
RFETS,09,2024-01-08 12:00:00.000,0.0,3.114444
RFETS,09,2024-01-08 13:00:00.000,0.0,6.233333
RFETS,09,2024-01-08 14:00:00.000,0.0,6.233333
RFETS,09,2024-01-08 15:00:00.000,0.0,6.233333
RFETS,09,2024-01-08 16:00:00.000,0.030635838150289012,3.82144
RFETS,09,2024-01-08 17:00:00.000,0.0,6.38801
RFETS,09,2024-01-08 18:00:00.000,0.0,7.518305
RFETS,09,2024-01-08 19:00:00.000,0.0,5.503764
RFETS,09,2024-01-08 20:00:00.000,0.0,6.51988
RFETS,09,2024-01-08 21:00:00.000,0.0,1.327572
RFETS,09,2024-01-08 22:00:00.000,0.0,2.338058
RFETS,09,2024-01-08 23:00:00.000,0.0,0.1872025
RFETS,09,2024-01-09 00:00:00.000,0.0,0.3558426
RFETS,09,2024-01-09 01:00:00.000,0.0,1.910843
RFETS,09,2024-01-09 02:00:00.000,0.14046242774566484,1.910843
RFETS,09,2024-01-09 03:00:00.000,0.10867052023121399,1.910843
RFETS,09,2024-01-09 04:00:00.000,0.030635838150289012,1.910843
RFETS,09,2024-01-09 05:00:00.000,0.026011560693641612,0.07263565
RFETS,09,2024-01-09 06:00:00.000,0.0,2.172914
RFETS,09,2024-01-09 07:00:00.000,0.0,4.290867
RFETS,09,2024-01-09 08:00:00.000,0.07630057803468214,6.22
RFETS,09,2024-01-09 09:00:00.000,0.030635838150289012,3.11
RFETS,09,2024-01-09 10:00:00.000,0.0017341040462427746,6.224444
RFETS,09,2024-01-09 11:00:00.000,0.07687861271676306,6.224444
RFETS,09,2024-01-09 12:00:00.000,0.034104046242774556,6.224444
RFETS,09,2024-01-09 13:00:00.000,0.003468208092485549,6.224444
RFETS,09,2024-01-09 14:00:00.000,0.0,3.114444
RFETS,09,2024-01-09 15:00:00.000,0.0,3.114444
RFETS,09,2024-01-09 16:00:00.000,0.0,6.225555
RFETS,09,2024-01-09 17:00:00.000,0.0,10.54251
RFETS,09,2024-01-09 18:00:00.000,0.0,8.082392
RFETS,09,2024-01-09 19:00:00.000,0.0,31.94726
RFETS,09,2024-01-09 20:00:00.000,0.0,12.50508
RFETS,09,2024-01-09 21:00:00.000,0.0,31.49714
RFETS,09,2024-01-09 22:00:00.000,0.0,16.8403
RFETS,09,2024-01-09 23:00:00.000,0.0,15.58783
RFETS,09,2024-01-10 00:00:00.000,0.0,15.58783
RFETS,09,2024-01-10 01:00:00.000,0.0,12.93083
RFETS,09,2024-01-10 02:00:00.000,0.006936416184971098,12.29333
RFETS,09,2024-01-10 03:00:00.000,0.11965317919075157,8.494217
RFETS,09,2024-01-10 04:00:00.000,0.11445086705202319,7.862228
RFETS,09,2024-01-10 05:00:00.000,0.26358381502890144,4.133248
RFETS,09,2024-01-10 06:00:00.000,0.49826589595375664,3.513997
RFETS,09,2024-01-10 07:00:00.000,0.43005780346820766,6.217778
RFETS,09,2024-01-10 08:00:00.000,0.0971098265895954,3.106667
RFETS,09,2024-01-10 09:00:00.000,0.08786127167630059,3.106667
RFETS,09,2024-01-10 10:00:00.000,0.05664739884393064,3.106667
RFETS,09,2024-01-10 11:00:00.000,0.012138728323699423,6.213333
RFETS,09,2024-01-10 12:00:00.000,0.01560693641618497,6.213333
RFETS,09,2024-01-10 13:00:00.000,0.14739884393063593,6.213333
RFETS,09,2024-01-10 14:00:00.000,0.036416184971098255,6.213333
RFETS,09,2024-01-10 15:00:00.000,0.0,3.106667
RFETS,09,2024-01-10 16:00:00.000,0.0,3.532177
RFETS,09,2024-01-10 17:00:00.000,0.0,57.15
RFETS,09,2024-01-10 18:00:00.000,0.0,11.91921
RFETS,09,2024-01-10 19:00:00.000,0.0,31.79349
RFETS,09,2024-01-10 20:00:00.000,0.0,13.26797
RFETS,09,2024-01-10 21:00:00.000,0.0,13.94926
RFETS,09,2024-01-10 22:00:00.000,0.005202312138728323,31.94849
RFETS,09,2024-01-10 23:00:00.000,0.0,18.37356
RFETS,09,2024-01-11 00:00:00.000,0.0,18.37356
RFETS,09,2024-01-11 01:00:00.000,0.0,11.88147
RFETS,09,2024-01-11 02:00:00.000,0.0,11.22097
RFETS,09,2024-01-11 03:00:00.000,0.0,7.453793
RFETS,09,2024-01-11 04:00:00.000,0.0,6.773191
RFETS,09,2024-01-11 05:00:00.000,0.0,6.088073
RFETS,09,2024-01-11 06:00:00.000,0.0,5.411174
RFETS,09,2024-01-11 07:00:00.000,0.0,4.773231
RFETS,09,2024-01-11 08:00:00.000,0.0,3.103333
RFETS,09,2024-01-11 09:00:00.000,0.0,3.103333
RFETS,09,2024-01-11 10:00:00.000,0.0,3.103333
RFETS,09,2024-01-11 11:00:00.000,0.0,6.206666
RFETS,09,2024-01-11 12:00:00.000,0.0,6.206666
RFETS,09,2024-01-11 13:00:00.000,0.0,6.206666
RFETS,09,2024-01-11 14:00:00.000,0.0,3.103333
RFETS,09,2024-01-11 15:00:00.000,0.0,3.103333
RFETS,09,2024-01-11 16:00:00.000,0.0,3.515833
RFETS,09,2024-01-11 17:00:00.000,0.0,31.15548
RFETS,09,2024-01-11 18:00:00.000,0.0,31.3396
RFETS,09,2024-01-11 19:00:00.000,0.0,9.154909
RFETS,09,2024-01-11 20:00:00.000,0.0,9.723753
RFETS,09,2024-01-11 21:00:00.000,0.0,31.05738
RFETS,09,2024-01-11 22:00:00.000,0.0,13.95831
RFETS,09,2024-01-11 23:00:00.000,0.0,31.04655
RFETS,09,2024-01-12 00:00:00.000,0.0,16.36816
RFETS,09,2024-01-12 01:00:00.000,0.0,13.12711
RFETS,09,2024-01-12 02:00:00.000,0.0,9.423752
RFETS,09,2024-01-12 03:00:00.000,0.0,8.854836
RFETS,09,2024-01-12 04:00:00.000,0.0,8.297472
RFETS,09,2024-01-12 05:00:00.000,0.0,7.707619
RFETS,09,2024-01-12 06:00:00.000,0.0,7.152625
RFETS,09,2024-01-12 07:00:00.000,0.0,3.483509
RFETS,09,2024-01-12 08:00:00.000,0.02080924855491329,3.098889
RFETS,09,2024-01-12 09:00:00.000,0.0,3.098889
RFETS,09,2024-01-12 10:00:00.000,0.0,3.098889
RFETS,09,2024-01-12 11:00:00.000,0.0,3.098889
RFETS,09,2024-01-12 12:00:00.000,0.0,3.098889
RFETS,09,2024-01-12 13:00:00.000,0.0,3.098889
RFETS,09,2024-01-12 14:00:00.000,0.0,3.098889
RFETS,09,2024-01-12 15:00:00.000,0.0,3.098889
RFETS,09,2024-01-12 16:00:00.000,0.0,3.301695
RFETS,09,2024-01-12 17:00:00.000,0.0,31.29818
RFETS,09,2024-01-12 18:00:00.000,0.0,32.61789
RFETS,09,2024-01-12 19:00:00.000,0.0,12.67697
RFETS,09,2024-01-12 20:00:00.000,0.0,13.4406
RFETS,09,2024-01-12 21:00:00.000,0.0,32.33897
RFETS,09,2024-01-12 22:00:00.000,0.0,14.9309
RFETS,09,2024-01-12 23:00:00.000,0.0,32.69778
RFETS,09,2024-01-13 00:00:00.000,0.0,15.70341
RFETS,09,2024-01-13 01:00:00.000,0.0,12.47169
RFETS,09,2024-01-13 02:00:00.000,0.0,8.61285
RFETS,09,2024-01-13 03:00:00.000,0.0,10.91861
RFETS,09,2024-01-13 04:00:00.000,0.0,10.14044
RFETS,09,2024-01-13 05:00:00.000,0.0,6.303748
RFETS,09,2024-01-13 06:00:00.000,0.0,5.555079
RFETS,09,2024-01-13 07:00:00.000,0.0,1.678316
RFETS,09,2024-01-13 08:00:00.000,0.0,3.098889
RFETS,09,2024-01-13 09:00:00.000,0.030635838150289012,3.098889
RFETS,09,2024-01-13 10:00:00.000,0.0,3.098889
RFETS,09,2024-01-13 11:00:00.000,0.0,3.093333
RFETS,09,2024-01-13 12:00:00.000,0.0,3.093333
RFETS,09,2024-01-13 13:00:00.000,0.0,3.093333
RFETS,09,2024-01-13 14:00:00.000,0.0,3.093333
RFETS,09,2024-01-13 15:00:00.000,0.0,3.093333
RFETS,09,2024-01-13 16:00:00.000,0.0,3.619864
RFETS,09,2024-01-13 17:00:00.000,0.0,60.21964
RFETS,09,2024-01-13 18:00:00.000,0.0,12.60063
RFETS,09,2024-01-13 19:00:00.000,0.0,10.41478
RFETS,09,2024-01-13 20:00:00.000,0.0,11.29422
RFETS,09,2024-01-13 21:00:00.000,0.0,33.21024
RFETS,09,2024-01-13 22:00:00.000,0.0,16.10725
RFETS,09,2024-01-13 23:00:00.000,0.0,32.80833
RFETS,09,2024-01-14 00:00:00.000,0.0,18.83262
RFETS,09,2024-01-14 01:00:00.000,0.0,11.93263
RFETS,09,2024-01-14 02:00:00.000,0.0,11.03425
RFETS,09,2024-01-14 03:00:00.000,0.0,10.10305
RFETS,09,2024-01-14 04:00:00.000,0.0,9.222076
RFETS,09,2024-01-14 05:00:00.000,0.0,8.362682
RFETS,09,2024-01-14 06:00:00.000,0.0,4.407513
RFETS,09,2024-01-14 07:00:00.000,0.0,3.615193
RFETS,09,2024-01-14 08:00:00.000,0.0,3.088889
