index,obstime,rainfall,flow
6625,2023-10-04 00:00:00,2.95,22.23
6626,2023-10-04 01:00:00,3.13,23.08
6627,2023-10-04 02:00:00,1.59,23.95
6628,2023-10-04 03:00:00,2.27,45.07
6629,2023-10-04 04:00:00,2.11,45.06
6630,2023-10-04 05:00:00,2.60,67.61
6631,2023-10-04 06:00:00,1.38,67.62
6632,2023-10-04 07:00:00,2.91,45.09
6633,2023-10-04 08:00:00,2.79,45.08
6634,2023-10-04 09:00:00,3.98,67.72
6635,2023-10-04 10:00:00,4.48,67.69
6636,2023-10-04 11:00:00,7.24,67.74
6637,2023-10-04 12:00:00,6.71,67.76
6638,2023-10-04 13:00:00,4.20,113.00
6639,2023-10-04 14:00:00,4.60,90.44
6640,2023-10-04 15:00:00,4.41,135.78
6641,2023-10-04 16:00:00,6.29,135.88
6642,2023-10-04 17:00:00,3.67,181.36
6643,2023-10-04 18:00:00,0.99,90.77
6644,2023-10-04 19:00:00,2.64,101.88
6645,2023-10-04 20:00:00,2.72,93.41
6646,2023-10-04 21:00:00,6.99,182.14
6647,2023-10-04 22:00:00,3.09,182.35
6648,2023-10-04 23:00:00,5.95,228.21
6649,2023-10-05 00:00:00,1.31,182.81
6650,2023-10-05 01:00:00,1.84,205.93
6651,2023-10-05 02:00:00,7.99,206.17
6652,2023-10-05 03:00:00,5.91,183.48
6653,2023-10-05 04:00:00,3.80,183.65
6654,2023-10-05 05:00:00,2.63,206.84
6655,2023-10-05 06:00:00,2.94,207.08
6656,2023-10-05 07:00:00,1.77,207.36
6657,2023-10-05 08:00:00,3.81,184.49
6658,2023-10-05 09:00:00,1.95,207.78
6659,2023-10-05 10:00:00,0.16,184.90
6660,2023-10-05 11:00:00,0.92,185.09
6661,2023-10-05 12:00:00,0.58,162.06
6662,2023-10-05 13:00:00,0.04,162.25
6663,2023-10-05 14:00:00,0.26,162.36
6664,2023-10-05 15:00:00,0.47,116.07
6665,2023-10-05 16:00:00,0.50,139.39
6666,2023-10-05 17:00:00,1.86,116.24
6667,2023-10-05 18:00:00,3.51,116.32
6668,2023-10-05 19:00:00,3.77,139.68
6669,2023-10-05 20:00:00,6.29,116.49
6670,2023-10-05 21:00:00,1.84,116.53
6671,2023-10-05 22:00:00,1.51,116.64
6672,2023-10-05 23:00:00,2.06,116.72
6673,2023-10-06 00:00:00,4.39,70.06
6674,2023-10-06 01:00:00,0.44,140.21
6675,2023-10-06 02:00:00,0.77,93.56
6676,2023-10-06 03:00:00,4.29,93.57
6677,2023-10-06 04:00:00,0.23,117.05
6678,2023-10-06 05:00:00,0.27,117.15
6679,2023-10-06 06:00:00,0.00,117.21
6680,2023-10-06 07:00:00,0.02,93.80
6681,2023-10-06 08:00:00,0.00,117.34
6682,2023-10-06 09:00:00,0.03,93.91
6683,2023-10-06 10:00:00,0.10,117.48
6684,2023-10-06 11:00:00,5.79,70.52
6685,2023-10-06 12:00:00,0.01,123.12
6686,2023-10-06 13:00:00,0.02,114.42
6687,2023-10-06 14:00:00,0.06,110.28
6688,2023-10-06 15:00:00,0.01,86.28
6689,2023-10-06 16:00:00,0.02,109.76
6690,2023-10-06 17:00:00,0.01,109.32
6691,2023-10-06 18:00:00,0.02,84.73
6692,2023-10-06 19:00:00,0.09,84.65
6693,2023-10-06 20:00:00,4.88,84.91
6694,2023-10-06 21:00:00,1.38,85.15
6695,2023-10-06 22:00:00,0.25,85.32
6696,2023-10-06 23:00:00,0.05,84.50
6697,2023-10-07 00:00:00,0.03,76.99
6698,2023-10-07 01:00:00,0.05,75.14
6699,2023-10-07 02:00:00,0.24,47.13
6700,2023-10-07 03:00:00,0.18,70.68
6701,2023-10-07 04:00:00,0.04,47.12
6702,2023-10-07 05:00:00,0.14,47.16
6703,2023-10-07 06:00:00,0.05,47.18
6704,2023-10-07 07:00:00,0.11,70.76
6705,2023-10-07 08:00:00,0.02,47.21
6706,2023-10-07 09:00:00,0.02,47.18
6707,2023-10-07 10:00:00,0.00,47.24
6708,2023-10-07 11:00:00,0.05,47.24
6709,2023-10-07 12:00:00,0.05,47.24
6710,2023-10-07 13:00:00,0.05,47.24
6711,2023-10-07 14:00:00,0.01,36.97
6712,2023-10-07 15:00:00,0.03,60.48
6713,2023-10-07 16:00:00,0.05,60.36
6714,2023-10-07 17:00:00,0.40,36.76
6715,2023-10-07 18:00:00,0.88,85.72
6716,2023-10-07 19:00:00,0.19,62.79
6717,2023-10-07 20:00:00,0.02,62.52
6718,2023-10-07 21:00:00,0.34,38.85
6719,2023-10-07 22:00:00,0.07,63.00
6720,2023-10-07 23:00:00,0.95,62.49
6721,2023-10-08 00:00:00,0.78,31.72
6722,2023-10-08 01:00:00,0.38,53.92
6723,2023-10-08 02:00:00,0.13,46.38
6724,2023-10-08 03:00:00,0.27,47.22
6725,2023-10-08 04:00:00,0.05,39.97
6726,2023-10-08 05:00:00,1.02,47.18
6727,2023-10-08 06:00:00,2.28,47.24
6728,2023-10-08 07:00:00,1.73,47.24
6729,2023-10-08 08:00:00,0.79,36.08
6730,2023-10-08 09:00:00,0.62,47.26
6731,2023-10-08 10:00:00,0.73,38.37
6732,2023-10-08 11:00:00,1.53,47.29
6733,2023-10-08 12:00:00,0.86,39.10
6734,2023-10-08 13:00:00,0.42,67.93
6735,2023-10-08 14:00:00,0.64,63.97
6736,2023-10-08 15:00:00,0.67,40.14
6737,2023-10-08 16:00:00,0.70,63.85
6738,2023-10-08 17:00:00,1.76,39.58
6739,2023-10-08 18:00:00,3.48,39.26
6740,2023-10-08 19:00:00,6.41,86.70
6741,2023-10-08 20:00:00,4.78,62.71
6742,2023-10-08 21:00:00,5.65,62.59
6743,2023-10-08 22:00:00,2.79,86.53
6744,2023-10-08 23:00:00,2.24,62.56
6745,2023-10-09 00:00:00,6.22,78.54
6746,2023-10-09 01:00:00,16.00,75.12
6747,2023-10-09 02:00:00,11.36,141.79
6748,2023-10-09 03:00:00,5.31,236.49
6749,2023-10-09 04:00:00,4.57,355.36
6750,2023-10-09 05:00:00,15.16,403.56
6751,2023-10-09 06:00:00,2.79,380.52
6752,2023-10-09 07:00:00,0.61,429.12
6753,2023-10-09 08:00:00,0.57,406.20
6754,2023-10-09 09:00:00,0.31,335.22
6755,2023-10-09 10:00:00,0.30,311.86
6756,2023-10-09 11:00:00,0.03,288.34
6757,2023-10-09 12:00:00,0.23,244.30
6758,2023-10-09 13:00:00,0.38,269.70
6759,2023-10-09 14:00:00,0.52,193.96
6760,2023-10-09 15:00:00,0.86,200.10
6761,2023-10-09 16:00:00,0.67,200.40
6762,2023-10-09 17:00:00,0.63,169.41
6763,2023-10-09 18:00:00,0.81,176.26
6764,2023-10-09 19:00:00,1.39,151.89
6765,2023-10-09 20:00:00,1.87,152.09
6766,2023-10-09 21:00:00,1.28,127.73
6767,2023-10-09 22:00:00,1.80,151.27
6768,2023-10-09 23:00:00,2.07,127.34
6769,2023-10-10 00:00:00,2.60,127.01
6770,2023-10-10 01:00:00,1.77,151.16
6771,2023-10-10 02:00:00,1.19,127.34
6772,2023-10-10 03:00:00,1.69,127.19
6773,2023-10-10 04:00:00,1.17,150.69
6774,2023-10-10 05:00:00,0.67,126.51
6775,2023-10-10 06:00:00,0.74,126.70
6776,2023-10-10 07:00:00,0.83,126.18
6777,2023-10-10 08:00:00,1.16,126.05
6778,2023-10-10 09:00:00,1.15,126.02
6779,2023-10-10 10:00:00,0.88,126.30
6780,2023-10-10 11:00:00,0.75,102.24
6781,2023-10-10 12:00:00,0.79,125.96
6782,2023-10-10 13:00:00,0.85,86.24
6783,2023-10-10 14:00:00,0.50,104.33
6784,2023-10-10 15:00:00,0.89,103.24
6785,2023-10-10 16:00:00,0.44,103.35
6786,2023-10-10 17:00:00,0.72,79.47
6787,2023-10-10 18:00:00,1.31,103.81
6788,2023-10-10 19:00:00,1.79,103.57
6789,2023-10-10 20:00:00,2.15,103.75
6790,2023-10-10 21:00:00,1.47,79.40
6791,2023-10-10 22:00:00,1.00,103.36
6792,2023-10-10 23:00:00,1.08,79.23
6793,2023-10-11 00:00:00,0.35,104.08
6794,2023-10-11 01:00:00,1.44,104.44
6795,2023-10-11 02:00:00,1.10,103.80
6796,2023-10-11 03:00:00,1.38,103.84
6797,2023-10-11 04:00:00,0.26,103.57
6798,2023-10-11 05:00:00,0.36,79.47
6799,2023-10-11 06:00:00,0.49,103.97
6800,2023-10-11 07:00:00,0.03,103.80
6801,2023-10-11 08:00:00,0.12,79.01
6802,2023-10-11 09:00:00,0.25,103.50
6803,2023-10-11 10:00:00,0.19,85.91
6804,2023-10-11 11:00:00,0.06,79.61
6805,2023-10-11 12:00:00,0.00,79.40
6806,2023-10-11 13:00:00,0.01,78.96
6807,2023-10-11 14:00:00,0.00,79.02
6808,2023-10-11 15:00:00,0.00,79.32
6809,2023-10-11 16:00:00,0.00,79.41
6810,2023-10-11 17:00:00,0.08,78.94
6811,2023-10-11 18:00:00,0.20,79.20
6812,2023-10-11 19:00:00,0.51,54.70
6813,2023-10-11 20:00:00,0.51,78.94
6814,2023-10-11 21:00:00,0.55,54.92
6815,2023-10-11 22:00:00,0.07,79.19
6816,2023-10-11 23:00:00,0.00,54.78
6817,2023-10-12 00:00:00,0.00,79.29
6818,2023-10-12 01:00:00,0.00,55.07
6819,2023-10-12 02:00:00,0.06,55.14
6820,2023-10-12 03:00:00,0.00,54.87
6821,2023-10-12 04:00:00,0.00,79.31
6822,2023-10-12 05:00:00,0.01,54.49
6823,2023-10-12 06:00:00,0.00,54.70
6824,2023-10-12 07:00:00,0.01,54.58
6825,2023-10-12 08:00:00,0.00,54.12
6826,2023-10-12 09:00:00,0.01,54.30
6827,2023-10-12 10:00:00,0.00,66.54
6828,2023-10-12 11:00:00,0.02,44.86
6829,2023-10-12 12:00:00,0.01,54.10
6830,2023-10-12 13:00:00,0.03,54.24
6831,2023-10-12 14:00:00,0.16,54.21
6832,2023-10-12 15:00:00,0.03,37.05
6833,2023-10-12 16:00:00,0.00,86.90
6834,2023-10-12 17:00:00,0.00,54.08
6835,2023-10-12 18:00:00,0.00,52.73
6836,2023-10-12 19:00:00,0.01,54.05
6837,2023-10-12 20:00:00,0.00,50.55
6838,2023-10-12 21:00:00,0.00,54.48
6839,2023-10-12 22:00:00,0.00,30.54
6840,2023-10-12 23:00:00,0.00,53.89
6841,2023-10-13 00:00:00,0.00,30.51
6842,2023-10-13 01:00:00,0.00,54.55
6843,2023-10-13 02:00:00,0.00,42.20
6844,2023-10-13 03:00:00,0.00,54.23
6845,2023-10-13 04:00:00,0.03,42.29
6846,2023-10-13 05:00:00,0.01,30.49
6847,2023-10-13 06:00:00,0.04,30.35
6848,2023-10-13 07:00:00,0.04,54.40
6849,2023-10-13 08:00:00,0.03,30.01
6850,2023-10-13 09:00:00,0.00,30.27
6851,2023-10-13 10:00:00,0.00,30.37
6852,2023-10-13 11:00:00,0.01,60.61
6853,2023-10-13 12:00:00,0.00,67.66
6854,2023-10-13 13:00:00,0.00,30.78
6855,2023-10-13 14:00:00,0.00,30.44
6856,2023-10-13 15:00:00,0.00,30.13
6857,2023-10-13 16:00:00,0.00,30.81
6858,2023-10-13 17:00:00,0.00,38.66
6859,2023-10-13 18:00:00,0.00,53.29
6860,2023-10-13 19:00:00,0.00,38.44
6861,2023-10-13 20:00:00,0.00,53.14
6862,2023-10-13 21:00:00,0.00,31.29
6863,2023-10-13 22:00:00,0.00,31.14
6864,2023-10-13 23:00:00,0.00,31.09
6865,2023-10-14 00:00:00,0.00,27.45
6866,2023-10-14 01:00:00,0.00,26.88
6867,2023-10-14 02:00:00,0.00,23.42
6868,2023-10-14 03:00:00,0.00,22.93
6869,2023-10-14 04:00:00,0.00,16.50
6870,2023-10-14 05:00:00,0.00,20.56
6871,2023-10-14 06:00:00,0.00,20.07
6872,2023-10-14 07:00:00,0.00,19.59
6873,2023-10-14 08:00:00,0.00,20.99
6874,2023-10-14 09:00:00,0.00,17.99
6875,2023-10-14 10:00:00,0.00,17.99
6876,2023-10-14 11:00:00,0.00,17.99
6877,2023-10-14 12:00:00,0.00,17.99
6878,2023-10-14 13:00:00,0.00,17.99
6879,2023-10-14 14:00:00,0.00,17.99
6880,2023-10-14 15:00:00,0.00,17.99
